dataset,target,model,r2,mse,rmse
1,Penetration,K-Nearest Neighbors,0.9088426551824746,0.012425939393939394,0.11147169772610173
1,Penetration,Support Vector Machine,0.9286788444701368,0.009722007128375938,0.09860023898741796
1,Penetration,Random Forest,0.9139329503325857,0.011732065530465656,0.10831465981327576
1,Penetration,XGBoost,0.900234711808712,0.013599314758074334,0.1166160999093793
1,Weld_Width,K-Nearest_Neighbors,0.617627207139496,0.02618230303030302,0.16180946520615852
1,Weld_Width,Support_Vector_Machine,0.6065211314755057,0.026942771986100702,0.16414253557838293
1,Weld_Width,Random_Forest,0.5598137403753087,0.030140978266395266,0.1736115729621596
1,Weld_Width,XGBoost,0.5252235270063657,0.03250948215897975,0.18030386063248827
2,Penetration,K-Nearest Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Penetration,Support Vector Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Penetration,Random Forest,0.9325017567411691,0.02172784083703705,0.1474036662944211
2,Penetration,XGBoost,0.926256759234657,0.0237381199983608,0.15407180143803342
2,Weld_Width,K-Nearest_Neighbors,0.7984150716144891,0.03125729292929292,0.17679732161232795
2,Weld_Width,Support_Vector_Machine,0.8731402241728449,0.01967058353881793,0.14025185752359193
2,Weld_Width,Random_Forest,0.8644042302671104,0.02102516655614477,0.14500057433039626
2,Weld_Width,XGBoost,0.8478591644288107,0.023590606212690747,0.15359233774082204
3,Penetration,K-Nearest Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Penetration,Support Vector Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Penetration,Random Forest,0.9174945341174983,0.029123444542789007,0.17065592442921226
3,Penetration,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
3,Weld_Width,K-Nearest_Neighbors,0.812732189800569,0.0406120808080808,0.20152439258829388
3,Weld_Width,Support_Vector_Machine,0.7982737027663416,0.04374763968053893,0.2091593643147228
3,Weld_Width,Random_Forest,0.7875943938191119,0.04606362210953981,0.21462437445346186
3,Weld_Width,XGBoost,0.76609706919607,0.05072566778529565,0.22522359509006967
3,Penetration,K-Nearest Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Penetration,Support Vector Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Penetration,Random Forest,0.9175905390159449,0.02908955595970133,0.17055660632089667
3,Penetration,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
3,Weld_Width,K-Nearest_Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Weld_Width,Support_Vector_Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Weld_Width,Random_Forest,0.9250010775554205,0.02647372431899552,0.16270748083292152
3,Weld_Width,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
1,Penetration,K-Nearest Neighbors,0.9088426551824746,0.012425939393939394,0.11147169772610173
1,Penetration,Support Vector Machine,0.9286788444701368,0.009722007128375938,0.09860023898741796
1,Penetration,Random Forest,0.916959210351858,0.011319546674579125,0.10639335822587388
1,Penetration,XGBoost,0.900234711808712,0.013599314758074334,0.1166160999093793
1,Weld_Width,K-Nearest_Neighbors,0.9088426551824746,0.012425939393939394,0.11147169772610173
1,Weld_Width,Support_Vector_Machine,0.9286788444701368,0.009722007128375938,0.09860023898741796
1,Weld_Width,Random_Forest,0.9082994273466997,0.01249998845908004,0.11180334726241446
1,Weld_Width,XGBoost,0.900234711808712,0.013599314758074334,0.1166160999093793
2,Penetration,K-Nearest Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Penetration,Support Vector Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Penetration,Random Forest,0.93402752369254,0.021236692921576875,0.14572814732088266
2,Penetration,XGBoost,0.926256759234657,0.0237381199983608,0.15407180143803342
2,Weld_Width,K-Nearest_Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Weld_Width,Support_Vector_Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Weld_Width,Random_Forest,0.9307311316598925,0.022297809151627383,0.14932450954758694
2,Weld_Width,XGBoost,0.926256759234657,0.0237381199983608,0.15407180143803342
3,Penetration,K-Nearest Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Penetration,Support Vector Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Penetration,Random Forest,0.9140312023654295,0.03034595930754772,0.17420091649456876
3,Penetration,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
3,Weld_Width,K-Nearest_Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Weld_Width,Support_Vector_Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Weld_Width,Random_Forest,0.9216598396169496,0.027653141425056114,0.1662923372409448
3,Weld_Width,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
1,Penetration,K-Nearest Neighbors,0.9088426551824746,0.012425939393939394,0.11147169772610173
1,Penetration,Support Vector Machine,0.9286788444701368,0.009722007128375938,0.09860023898741796
1,Penetration,Random Forest,0.9089259989920873,0.012414578541676971,0.1114207276124015
1,Penetration,XGBoost,0.900234711808712,0.013599314758074334,0.1166160999093793
1,Weld_Width,K-Nearest_Neighbors,0.9088426551824746,0.012425939393939394,0.11147169772610173
1,Weld_Width,Support_Vector_Machine,0.9286788444701368,0.009722007128375938,0.09860023898741796
1,Weld_Width,Random_Forest,0.9097771999806176,0.012298548704292934,0.11089882192472982
1,Weld_Width,XGBoost,0.900234711808712,0.013599314758074334,0.1166160999093793
2,Penetration,K-Nearest Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Penetration,Support Vector Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Penetration,Random Forest,0.9297520806617687,0.022612967935493836,0.15037608831025576
2,Penetration,XGBoost,0.926256759234657,0.0237381199983608,0.15407180143803342
2,Weld_Width,K-Nearest_Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Weld_Width,Support_Vector_Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Weld_Width,Random_Forest,0.9277745253334697,0.023249547575869806,0.15247802325538526
2,Penetration,K-Nearest Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Penetration,Support Vector Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Penetration,Random Forest,0.9322598815162185,0.02180570103215349,0.14766753547125208
2,Penetration,XGBoost,0.926256759234657,0.0237381199983608,0.15407180143803342
2,Weld_Width,K-Nearest_Neighbors,0.927261577515006,0.02341466666666667,0.1530185173979498
2,Weld_Width,Support_Vector_Machine,0.9390085202871453,0.019633298581336063,0.1401188730376321
2,Weld_Width,Random_Forest,0.9301831718780617,0.022474198674523015,0.14991397091172995
2,Weld_Width,XGBoost,0.926256759234657,0.0237381199983608,0.15407180143803342
3,Penetration,K-Nearest Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Penetration,Support Vector Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Penetration,Random Forest,0.9206601986533012,0.028006002751952645,0.16734994099775669
3,Penetration,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
3,Weld_Width,K-Nearest_Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Weld_Width,Support_Vector_Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Weld_Width,Random_Forest,0.9164951701403052,0.029476208096773305,0.17168636549468133
3,Weld_Width,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
3,Penetration,K-Nearest Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Penetration,Support Vector Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Penetration,Random Forest,0.9213409529886453,0.027765704598120108,0.16663044319127315
3,Penetration,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
3,Weld_Width,K-Nearest_Neighbors,0.9185642188947045,0.028745858585858593,0.1695460367742596
3,Weld_Width,Support_Vector_Machine,0.9283992855185462,0.025274197474314756,0.15897860697060706
3,Weld_Width,Random_Forest,0.924916630226872,0.026503533217878336,0.16279905779174011
3,Weld_Width,XGBoost,0.9353848180342887,0.022808387886452945,0.15102446121887986
